AId,ANo,BId,GId
50634,8119141,66209,1
50891,8187933,692888,486
50911,8136050,196799,28
50992,8180388,238750,12
51355,8151197,491757,338
51414,8261090,656638,17212
51428,8261208,656756,17330
51445,8261326,656874,17448
51448,8261351,656899,17473
51567,8324037,63617,36
51917,8119200,79199,1
52249,8024723,16504,4
52291,8260769,656317,16891
52599,8870673,139274,4
53095,7138401,568618,8
53349,8730082,241867,5
53363,8718064,334311,9
53416,8716796,159169,4
53486,8714152,533942,1
53544,9275728,228270,197
53757,8729305,399713,9454
53782,8729520,399714,9669
54106,8728781,399714,8930
54187,8729410,399712,9559
54440,9275963,228501,428
54487,8728382,399713,8531
54785,8713606,403182,41
55193,8714594,723257,4
55259,9275655,228199,126
55709,9275653,228197,124
55750,9276000,228538,465
55810,10028067,681292,13
56217,9275922,228460,387
56285,9250982,721800,136
56570,8712250,682000,57
56583,8977059,299256,224
56993,8717865,738512,35
57314,8713868,283859,2
57542,8187630,692585,183
57981,9279333,133801,0
58030,8720155,399712,308
58345,8722678,399713,2831
58483,8723781,399713,3934
58649,8065408,79777,21
58846,8146726,332027,1
58949,8079355,570356,11
58961,8127740,17461,1
59218,2711824,707541,141
59324,2650815,394184,1
59351,2651051,143426,2
59427,9963823,98344,338
59799,8282392,482424,12
59915,1083040,259287,27
60219,8261161,656709,17283
60247,2711830,707547,147
60742,8115338,226073,1
60789,8138619,181921,25
61354,7347103,675391,2780
61413,10024341,142047,253
61584,1626383,90891,1
61953,8261116,656664,17238
62004,8261511,657057,17631
62055,8262413,657959,18533
62059,8262447,657993,18567
62061,8263515,659059,19633
62099,8153447,254978,1
62402,8152403,240870,1
62559,8724250,399712,4401
62682,8725236,399714,5387
62691,8725303,399713,5454
62699,8725368,399714,5519
63447,7207007,532866,393
63530,7208394,44858,56
63900,7200823,426032,0
64015,7207557,547987,212
64266,7208543,735737,0
64351,8854938,477641,2
64411,7212605,714783,113
65405,7202663,258442,1
65791,9291620,322573,26
66108,7427661,372650,3
66123,8012279,87260,7
66239,8167003,3255,29
66632,8719333,592375,8
66824,9275693,228237,164
66842,9275843,228382,309
66897,9250907,721725,61
67074,8144912,2234,1
67125,8097566,310014,1
67465,8055718,726349,354
67473,8136538,203153,11
67558,8261178,656726,17300
67771,8100173,283841,1
67784,8115128,6878,1
67884,10611444,479252,15
68128,832495,106971,13
68984,834937,316297,2
69110,686261,389928,1
69239,8028083,157025,42
69281,696997,75394,4
69716,7959859,627105,229
69920,834699,331991,0
70495,869391,361080,0
70944,1051911,399097,14
71029,679966,761278,8
71132,690777,48124,45
71140,721729,272675,2
71336,691023,83083,0
71404,9951850,202431,59
71450,682741,133050,0
71483,692265,494822,9
71531,691531,339427,81
72056,691805,180295,1
72149,3206950,312773,690
72152,8060141,314357,2278
72894,8060442,314598,2519
73089,835066,684013,5
