CId,CNo
31397,7426063
22884,7640622
100598,7641672
1005,7678137
19440,200264706
40665,201167678
45251,1352021
110313,5465495
45394,5466180
66779,6691255
55398,6692298
1808,7055353
90039,7058950
40758,7060747
76974,7063261
53344,7068402
55972,7278289
52246,7279167
68792,7280837
8627,7282555
110080,7286334
105779,7289558
118609,7299335
99546,7299640
43499,7640090
106709,7675556
47606,200449173
38344,201104841
63016,201142253
8231,201161925
121484,201341261
124501,201404151
127619,201804426
61786,21724
104826,766028
72052,2314690
25673,5371900
61711,5466510
79578,6686683
4259,6688888
49851,6689345
10912,6690182
61958,6691702
113572,6767616
108905,7057981
321,7068219
43419,7069039
105101,7278478
69073,7281920
111025,7283983
35905,7284137
77695,7291615
58568,7631138
30211,200341636
102692,201102253
125289,201546576
125700,201598004
128625,202227072
129994,202455889
75961,8471
2564,685014
52984,921610
77594,1393694
19358,2692559
106526,5371323
66941,5463851
95516,6685061
40253,6685891
15270,6689686
30250,6692789
23974,7055908
25434,7057100
72630,7057537
857,7065964
105423,7291313
87373,7292419
41615,7299137
58559,7304398
75415,7604100
118905,200426795
71990,200471276
107599,200561644
50876,201139252
36869,201162245
126241,201638450
127748,201827378
129897,202447597
162134,202493142
168590,202499736
60097,677353
44979,800883
38423,1136629
60474,1153719
46908,2303442
93471,2746577
28108,5462781
23850,5463291
119239,5463497
12008,6684947
6188,6685999
48403,6687151
64288,6689770
21200,6692980
35899,7060570
69395,7061071
73788,7061374
98927,7062619
24994,7063248
69769,7278482
24176,7281124
79531,7284577
97101,7284943
118975,7286620
65432,7287488
375,7288105
85651,7289485
116241,7290229
98624,7296257
74589,7296488
97685,7296774
49425,7301812
29442,7306219
29239,7383547
91941,7641349
125024,201534655
87531,677651
5375,764969
15191,2313141
50685,2881701
6157,3894349
94211,5370861
66470,6009792
46601,6692071
1653,7070137
84352,7279738
27373,7281569
72344,7290695
52778,7291478
86505,7296377
119706,7677278
110538,200246524
78735,201022061
106873,201102709
120827,201228739
124853,201520913
125866,201604808
126403,201655051
127917,202080330
130000,202455892
95472,23320
41556,676111
56232,681787
44428,5370397
47346,5466650
102374,6682772
77530,6686445
43458,6690386
96156,6740794
114966,6741037
114541,6742418
56864,6769448
73410,7055686
27938,7061166
110452,7066048
21231,7066586
39929,7066722
79776,7278481
113979,7280485
35554,7285555
106131,7293709
22707,7296297
28089,7297976
67937,7300269
22908,7303179
88224,7304368
23249,7418349
56512,7640410
32246,7642320
25512,200003257
19947,200453091
13751,201031387
122664,201194492
129442,202430493
162867,202493581
120398,12603
72476,23600
10715,867515
86022,873966
91078,2746121
99762,5463429
26309,5463929
79662,5464493
44949,5467182
13994,6693118
103108,6693633
63151,7039369
35252,7056380
41725,7061913
8003,7067712
52643,7069487
57868,7278425
109522,7282052
9097,7286561
79387,7289252
85241,7295116
75767,7295441
3436,7297730
24588,7639406
104986,200216586
63094,200440073
15202,200610279
31039,201165566
121820,201237100
16274,676155
93041,681728
64524,989916
88412,992197
100711,2314658
79223,2695715
62376,2968164
120411,4647171
117179,5462771
46685,5462861
29715,6006802
50292,6690244
44941,6691417
9562,6923421
110888,7057916
87540,7063233
50905,7063733
80002,7067267
1404,7274643
12355,7278932
18818,7279514
110398,7289486
4517,7290581
37096,7291839
52858,7293136
1068,7298460
91081,7301051
42546,7638806
91995,7639157
51031,7640644
54282,200611717
125942,201612841
110232,707551
110756,6686414
77714,7057700
26258,7061422
107426,7062739
11450,7069390
42623,7070282
11909,7284995
4321,7287148
10334,7288502
2663,7296047
115799,7299444
72167,7305282
90234,7640567
116969,201191411
25196,1019456
111222,2748941
61020,5466737
93120,6683496
117037,6686830
62817,6689495
22845,6741249
102677,7062269
103090,7065232
59712,7065482
86070,7065764
90025,7066338
62836,7067963
78604,7068972
29967,7069538
27396,7069869
66964,7281443
36736,7281924
72662,7284285
60507,7284782
71967,7284937
115872,7294057
59522,7295237
113066,7302483
78293,7305306
101,7640583
93193,7642777
80094,7705291
110733,200390358
46170,200609446
120663,201224451
127807,201974088
108064,2965695
42184,3602405
61163,5370500
37790,5371924
95612,5465895
12362,5466229
25645,6687299
20819,6693091
112281,6742023
23209,7058180
76101,7059422
87774,7064036
91443,7066427
14501,7066749
109718,7281763
27780,7289360
45224,7292483
69708,7292855
24893,7294082
108948,7303655
112689,7305956
85017,7407842
77374,7605272
21528,7639037
24526,7640792
116562,7641239
97567,7641347
79850,200257130
67922,200611052
104030,201000724
122251,201212746
120801,201222936
121886,201266331
121978,201303519
128707,202246823
130076,202456843
107559,919942
25602,2853888
92966,5369565
47209,5370842
75382,6686034
80778,6686747
15060,6691429
100920,6692044
58001,6741679
23120,7055356
64842,7056628
81303,7056691
95454,7059232
105888,7064330
87932,7066528
61328,7066752
103435,7066859
94706,7275656
107313,7281642
54719,7282912
107361,7284317
41006,7285650
109869,7290925
30908,7291168
5151,7297749
45016,7300012
115672,7327717
10994,7639728
100425,7639876
49040,7641250
96226,7641260
65699,7642604
52884,201163011
121617,201324307
126940,201708386
127432,201792370
107183,21860
114609,677200
57759,677245
68932,763818
116318,798763
80753,992131
115653,3067324
62884,5463579
27140,5463858
98089,5465942
56121,5935947
84477,6682878
79212,6689570
15253,6690018
10096,6690025
85719,6693104
110635,6741735
118625,6741805
105664,6742393
100149,7055605
18742,7062310
5699,7065912
62328,7278543
40164,7280903
7533,7289064
91667,7289914
6953,7293149
29365,7296688
57060,7299866
8001,7303181
76318,7305428
116957,7305926
28246,7367854
9416,7639336
20583,7639602
65330,7641033
5785,7641748
122052,201302470
123832,201360430
38341,24498
88250,677892
16366,685450
43774,763907
67268,765922
78552,767045
20763,811285
20917,5463089
97744,5463199
10295,5463546
114378,6684165
47068,6686668
74098,6690991
57490,6691462
57742,6693735
83498,6939211
14056,7055301
64770,7056537
35567,7284369
76053,7291788
31287,7299207
73803,7367881
13045,7632506
51659,7639933
96272,7641641
49157,7778816
48285,200257032
118715,201001234
121890,201267979
124319,201362123
127464,201792707
127906,202080115
60231,795318
61145,923533
51386,1318956
100480,2370955
72165,5370871
100716,6054087
12077,6683493
8478,6689861
99500,6691270
103193,6742383
63492,7055158
84196,7055273
11467,7064269
85568,7064919
98085,7066866
78095,7069364
4208,7070227
3234,7276025
30026,7280178
44292,7282229
10414,7288062
100108,7288807
12030,7294702
2079,7294747
21531,7452825
10651,7612710
54186,7638909
31162,7640763
119196,200258702
38976,200435142
102937,200563604
124761,201516222
124974,201531362
125928,201606940
94128,767248
4424,2418796
57988,2559140
30467,4846698
85210,5370937
33271,5371198
19752,6683271
44536,6686939
13415,6708183
118800,7058420
66559,7271430
27940,7275124
37918,7282079
113676,7286287
94455,7290835
13836,7291661
107981,7299827
60824,7301935
94159,7303351
10015,7606412
88385,201003501
120641,201247996
121182,201260833
162132,202489991
113426,21809
3485,931867
116537,1291587
22491,2422136
60625,2456459
93543,3851907
79995,5466672
59439,6682538
53987,6688678
67475,6689618
44401,7063809
110060,7065128
36475,7069433
24632,7279815
45089,7280218
61165,7286399
110286,7286829
84013,7288612
118070,7296200
49994,7296637
60980,7640002
89951,7641348
71425,7642676
67342,7673491
125155,201541267
130006,202456135
58030,680615
92429,791285
784,863405
33436,6682566
32417,6687406
59799,6688649
80657,6689998
61413,6692549
83569,6692750
89809,7007557
86390,7057346
77832,7060040
60742,7062388
1974,7062944
65791,7063836
23667,7275918
104554,7276078
49490,7281533
105390,7285343
23038,7286706
81755,7290537
