,Unnamed: 0,hourBeginning,Actual_MW,zone,zone_short,load_type,zone_loadtype,WT_Fcst_MW,QA_Fcst_MW
61,61,2020-05-03 13:00:00-04:00,305.818,4004,CT,CI,CT_CI,379.87,397.299665896718
62,62,2020-05-03 14:00:00-04:00,305.566,4004,CT,CI,CT_CI,391.51,397.623202865135
63,63,2020-05-03 15:00:00-04:00,317.27,4004,CT,CI,CT_CI,389.59,398.169127679612
64,64,2020-05-03 16:00:00-04:00,324.11,4004,CT,CI,CT_CI,411.18,399.949229728997
65,65,2020-05-03 17:00:00-04:00,336.98,4004,CT,CI,CT_CI,411.26,400.74475562245806
66,66,2020-05-03 18:00:00-04:00,343.853,4004,CT,CI,CT_CI,408.89,397.4268473840369
67,67,2020-05-03 19:00:00-04:00,351.453,4004,CT,CI,CT_CI,408.01,391.184125190099
68,68,2020-05-03 20:00:00-04:00,357.588,4004,CT,CI,CT_CI,390.32,397.703289414252
69,69,2020-05-03 21:00:00-04:00,336.105,4004,CT,CI,CT_CI,380.78,400.512361543958
70,70,2020-05-03 12:00:00-04:00,298.374,4004,CT,CI,CT_CI,365.54,392.55693167548696
71,71,2020-05-03 23:00:00-04:00,316.643,4004,CT,CI,CT_CI,357.89,388.429601459521
72,72,2020-05-04 14:00:00-04:00,471.396,4004,CT,CI,CT_CI,587.53,622.396226710813
73,73,2020-05-04 15:00:00-04:00,463.535,4004,CT,CI,CT_CI,581.45,612.509985811454
74,74,2020-05-04 16:00:00-04:00,460.803,4004,CT,CI,CT_CI,567.39,594.219303202204
75,75,2020-05-04 17:00:00-04:00,443.95,4004,CT,CI,CT_CI,556.65,570.879377653986
76,76,2020-05-04 23:00:00-04:00,350.174,4004,CT,CI,CT_CI,397.64,432.24427466354206
77,77,2020-05-04 19:00:00-04:00,413.699,4004,CT,CI,CT_CI,509.26,510.194219322998
78,78,2020-05-04 20:00:00-04:00,412.857,4004,CT,CI,CT_CI,490.12,498.530120540455
79,79,2020-05-04 21:00:00-04:00,385.578,4004,CT,CI,CT_CI,451.96,481.84284727889
80,80,2020-05-04 13:00:00-04:00,495.12,4004,CT,CI,CT_CI,585.62,631.392109474768
81,81,2020-05-04 18:00:00-04:00,418.748,4004,CT,CI,CT_CI,528.96,540.416826092944
82,82,2020-05-04 12:00:00-04:00,497.767,4004,CT,CI,CT_CI,574.68,627.1102343233039
83,83,2020-05-04 01:00:00-04:00,326.567,4004,CT,CI,CT_CI,377.72,379.77395158398
84,84,2020-05-04 10:00:00-04:00,452.42,4004,CT,CI,CT_CI,579.47,605.618534984142
85,85,2020-05-04 09:00:00-04:00,435.94,4004,CT,CI,CT_CI,566.27,569.444815753655
86,86,2020-05-04 08:00:00-04:00,419.008,4004,CT,CI,CT_CI,537.43,522.982473100235
87,87,2020-05-04 07:00:00-04:00,400.283,4004,CT,CI,CT_CI,505.21,473.611639893621
88,88,2020-05-04 06:00:00-04:00,373.535,4004,CT,CI,CT_CI,481.5,426.052112936013
89,89,2020-05-04 05:00:00-04:00,347.805,4004,CT,CI,CT_CI,434.13,398.845285711224
90,90,2020-05-04 04:00:00-04:00,328.0,4004,CT,CI,CT_CI,404.15,383.502731900473
91,91,2020-05-04 03:00:00-04:00,325.597,4004,CT,CI,CT_CI,389.52,374.017421957381
92,92,2020-05-04 02:00:00-04:00,326.166,4004,CT,CI,CT_CI,380.67,374.621538055799
93,93,2020-05-04 00:00:00-04:00,325.227,4004,CT,CI,CT_CI,368.71,389.550286553936
94,94,2020-05-04 11:00:00-04:00,470.385,4004,CT,CI,CT_CI,574.44,622.322011330128
95,95,2020-05-04 22:00:00-04:00,364.791,4004,CT,CI,CT_CI,418.77,457.585829371102
96,96,2020-05-05 23:00:00-04:00,352.168,4004,CT,CI,CT_CI,367.17,429.181419423892
97,97,2020-05-05 01:00:00-04:00,348.789,4004,CT,CI,CT_CI,393.48,396.55020969263495
98,98,2020-05-05 21:00:00-04:00,388.98,4004,CT,CI,CT_CI,422.74,480.030274664218
99,99,2020-05-05 20:00:00-04:00,414.765,4004,CT,CI,CT_CI,471.34,494.4003713505781
100,100,2020-05-05 19:00:00-04:00,415.865,4004,CT,CI,CT_CI,481.12,504.468433657439
101,101,2020-05-05 18:00:00-04:00,418.531,4004,CT,CI,CT_CI,485.5,533.684108891276
102,102,2020-05-05 17:00:00-04:00,428.118,4004,CT,CI,CT_CI,499.77,563.805121458478
103,103,2020-05-05 16:00:00-04:00,426.666,4004,CT,CI,CT_CI,503.61,586.3780662441341
104,104,2020-05-05 15:00:00-04:00,434.436,4004,CT,CI,CT_CI,512.28,603.784186335687
105,105,2020-05-05 14:00:00-04:00,440.075,4004,CT,CI,CT_CI,516.26,614.126517998488
106,106,2020-05-05 13:00:00-04:00,440.417,4004,CT,CI,CT_CI,521.48,622.1072589595449
107,107,2020-05-05 00:00:00-04:00,347.936,4004,CT,CI,CT_CI,386.29,408.996047920454
108,108,2020-05-05 12:00:00-04:00,440.692,4004,CT,CI,CT_CI,516.57,619.6722308377521
109,109,2020-05-05 10:00:00-04:00,439.123,4004,CT,CI,CT_CI,531.26,599.780788925475
110,110,2020-05-05 09:00:00-04:00,433.983,4004,CT,CI,CT_CI,504.77,568.07182703644
111,111,2020-05-05 22:00:00-04:00,366.934,4004,CT,CI,CT_CI,387.36,454.42229508551
112,112,2020-05-05 07:00:00-04:00,410.524,4004,CT,CI,CT_CI,497.76,478.225433715282
113,113,2020-05-05 06:00:00-04:00,394.032,4004,CT,CI,CT_CI,488.25,430.44247746881496
114,114,2020-05-05 05:00:00-04:00,369.936,4004,CT,CI,CT_CI,445.31,404.469634345002
115,115,2020-05-05 04:00:00-04:00,355.829,4004,CT,CI,CT_CI,415.09,392.099908074761
116,116,2020-05-05 03:00:00-04:00,352.526,4004,CT,CI,CT_CI,403.11,386.832307432584
117,117,2020-05-05 02:00:00-04:00,348.759,4004,CT,CI,CT_CI,393.09,388.218416772996
118,118,2020-05-05 11:00:00-04:00,443.246,4004,CT,CI,CT_CI,523.2,615.5470825704671
119,119,2020-05-05 08:00:00-04:00,422.593,4004,CT,CI,CT_CI,496.76,524.0439936851369
120,120,2020-05-06 23:00:00-04:00,361.709,4004,CT,CI,CT_CI,367.34,426.66024362011296
121,121,2020-05-06 21:00:00-04:00,399.362,4004,CT,CI,CT_CI,410.18,476.998007315638
122,122,2020-05-06 22:00:00-04:00,378.866,4004,CT,CI,CT_CI,377.82,451.64240418726297
123,123,2020-05-06 20:00:00-04:00,427.919,4004,CT,CI,CT_CI,467.53,491.170499571737
124,124,2020-05-06 19:00:00-04:00,436.345,4004,CT,CI,CT_CI,505.92,500.114681274678
125,125,2020-05-06 18:00:00-04:00,444.046,4004,CT,CI,CT_CI,524.29,528.201396870948
126,126,2020-05-06 17:00:00-04:00,469.29,4004,CT,CI,CT_CI,537.96,557.4722517143989
127,127,2020-05-06 16:00:00-04:00,477.73,4004,CT,CI,CT_CI,541.54,579.6641716634721
128,128,2020-05-06 15:00:00-04:00,484.78,4004,CT,CI,CT_CI,543.99,596.6790088499621
129,129,2020-05-06 13:00:00-04:00,491.483,4004,CT,CI,CT_CI,570.62,614.9128461926421
130,130,2020-05-06 12:00:00-04:00,484.774,4004,CT,CI,CT_CI,574.23,613.221943104972
131,131,2020-05-06 11:00:00-04:00,475.738,4004,CT,CI,CT_CI,546.22,610.041761741608
132,132,2020-05-06 10:00:00-04:00,473.773,4004,CT,CI,CT_CI,513.25,595.702401840318
133,133,2020-05-06 14:00:00-04:00,493.388,4004,CT,CI,CT_CI,570.71,607.328840659464
134,134,2020-05-06 08:00:00-04:00,439.198,4004,CT,CI,CT_CI,489.12,523.342815826948
135,135,2020-05-06 07:00:00-04:00,417.509,4004,CT,CI,CT_CI,470.8,477.0259738182789
136,136,2020-05-06 06:00:00-04:00,401.513,4004,CT,CI,CT_CI,457.98,429.258609726422
137,137,2020-05-06 05:00:00-04:00,377.933,4004,CT,CI,CT_CI,410.1,402.93975051423297
138,138,2020-05-06 04:00:00-04:00,364.426,4004,CT,CI,CT_CI,393.19,390.450472198656
139,139,2020-05-06 03:00:00-04:00,359.309,4004,CT,CI,CT_CI,378.75,385.232258434247
140,140,2020-05-06 02:00:00-04:00,350.566,4004,CT,CI,CT_CI,375.76,386.585387601868
141,141,2020-05-06 01:00:00-04:00,348.544,4004,CT,CI,CT_CI,375.58,394.654369558092
142,142,2020-05-06 00:00:00-04:00,350.519,4004,CT,CI,CT_CI,378.09,406.5776957841271
143,143,2020-05-06 09:00:00-04:00,464.336,4004,CT,CI,CT_CI,502.84,566.0008995875941
144,144,2020-05-07 05:00:00-04:00,390.782,4004,CT,CI,CT_CI,419.75,403.706791531042
145,145,2020-05-07 04:00:00-04:00,375.139,4004,CT,CI,CT_CI,401.41,391.30603709601496
146,146,2020-05-07 03:00:00-04:00,370.726,4004,CT,CI,CT_CI,383.88,386.16370209049705
147,147,2020-05-07 02:00:00-04:00,369.617,4004,CT,CI,CT_CI,375.79,387.482934896491
148,148,2020-05-07 20:00:00-04:00,421.76,4004,CT,CI,CT_CI,473.74,492.52189352584696
149,149,2020-05-07 00:00:00-04:00,365.605,4004,CT,CI,CT_CI,366.74,407.776755354815
150,150,2020-05-07 19:00:00-04:00,420.431,4004,CT,CI,CT_CI,488.43,501.436474925024
151,151,2020-05-07 23:00:00-04:00,352.879,4004,CT,CI,CT_CI,385.72,427.444676141941
152,152,2020-05-07 06:00:00-04:00,416.428,4004,CT,CI,CT_CI,464.0,430.083248749021
153,153,2020-05-07 01:00:00-04:00,363.739,4004,CT,CI,CT_CI,372.18,395.64817972188297
154,154,2020-05-07 07:00:00-04:00,428.045,4004,CT,CI,CT_CI,486.86,477.829250568563
155,155,2020-05-07 18:00:00-04:00,424.926,4004,CT,CI,CT_CI,489.79,529.483141449432
156,156,2020-05-07 08:00:00-04:00,432.939,4004,CT,CI,CT_CI,523.16,524.194840064189
157,157,2020-05-07 09:00:00-04:00,445.407,4004,CT,CI,CT_CI,554.25,566.841882135239
158,158,2020-05-07 10:00:00-04:00,460.227,4004,CT,CI,CT_CI,566.07,596.66684251386
159,159,2020-05-07 11:00:00-04:00,471.848,4004,CT,CI,CT_CI,561.9,611.319497207902
